File Name,Total Frames,Total Objects,Good Objects,Multiple Objects,No Objects,V measure score,Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K)
log41_1535658964148562_scene-0530.csv,40,381,180,126,75,0.8212000000000002,0.8480500000000001,0.32145000000000007,2.0289000000000006,0.8037000000000001,0.42562500000000003,2.1329999999999996
log41_1535658984049609_scene-0531.csv,40,395,169,137,89,0.7914000000000002,0.8369250000000001,0.32207500000000006,1.9640750000000005,0.7563000000000001,0.534775,2.176774999999999
log41_1535659004050198_scene-0532.csv,39,255,103,100,52,0.729948717948718,0.7756410256410254,0.35725641025641025,1.6374358974358973,0.7008974358974357,0.5253333333333333,1.805512820512821
log41_1535659108049318_scene-0533.csv,39,552,319,115,118,0.873051282051282,0.8381282051282051,0.4087948717948717,2.5334871794871794,0.9184871794871794,0.18979487179487178,2.314589743589744
log41_1535659134048400_scene-0534.csv,40,361,200,79,82,0.8614750000000002,0.867625,0.26539999999999997,1.9257999999999995,0.8661249999999999,0.2734,1.9338249999999995
log41_1535659227049117_scene-0535.csv,35,152,74,26,52,0.8333714285714285,0.8223714285714285,0.21054285714285717,1.2227428571428571,0.8670285714285715,0.16082857142857143,1.1731142857142856
log41_1535659267048619_scene-0536.csv,37,221,123,25,73,0.8845675675675674,0.8631081081081082,0.20459459459459461,1.5225135135135133,0.9215675675675677,0.11794594594594594,1.435891891891892
log41_1535659287050317_scene-0537.csv,40,228,144,41,43,0.9069749999999999,0.9270999999999997,0.11747499999999997,1.5527750000000005,0.9004749999999998,0.16932500000000006,1.6046000000000002
log41_1535659307048652_scene-0538.csv,41,341,165,75,101,0.7963170731707317,0.7786341463414634,0.41787804878048784,1.8683170731707317,0.8295853658536585,0.3065609756097561,1.756951219512195
log41_1535659327048134_scene-0539.csv,40,217,103,53,61,0.8208499999999999,0.8282250000000001,0.2750499999999999,1.4550499999999995,0.8335249999999998,0.239825,1.4199999999999997
log41_1535659387049312_scene-0541.csv,39,221,120,52,49,0.868974358974359,0.8798461538461536,0.21430769230769228,1.5437948717948715,0.8679743589743589,0.22694871794871796,1.5563846153846153
log41_1535659407047720_scene-0542.csv,40,139,53,18,68,0.7919500000000002,0.7797500000000002,0.2648499999999999,1.0710000000000002,0.892925,0.14355,0.9497500000000002
log41_1535659467049382_scene-0543.csv,37,325,158,96,71,0.8584864864864864,0.8929189189189191,0.2168918918918919,1.9545405405405405,0.8337567567567569,0.36129729729729726,2.0989729729729723
log41_1535659487048867_scene-0544.csv,41,411,205,43,163,0.8296097560975608,0.7649024390243904,0.5014634146341463,2.1145365853658538,0.9281951219512194,0.12817073170731708,1.7412439024390245
log41_1535659547050023_scene-0545.csv,37,445,230,105,110,0.8538108108108109,0.8336486486486486,0.3868918918918919,2.300243243243243,0.8824864864864863,0.26089189189189194,2.1742972972972967
log41_1535659587047870_scene-0546.csv,38,286,194,7,85,0.9434736842105265,0.9199736842105262,0.15263157894736845,1.8432631578947365,0.9733157894736841,0.044500000000000005,1.7351052631578947
