File Name,F1-score(IOU>=0.3),Precision,Recall,TP,FP,FN,F1-score(IOU>=0.5),Precision,Recall,TP,FP,FN
sequence_6_Eps-1.5_Nmin-2,0.46494464944649444,0.5294117647058824,0.4144736842105263,189,168,267,0.44526445264452646,0.5070028011204482,0.3969298245614035,181,176,275
sequence_14_Eps-1.5_Nmin-2,0.33557046979865773,0.25,0.5102040816326531,25,75,24,0.3221476510067114,0.24,0.4897959183673469,24,76,25
sequence_19_Eps-1.5_Nmin-2,0.697986577181208,0.7663157894736842,0.6408450704225352,364,111,204,0.6960690316395014,0.7642105263157895,0.6390845070422535,363,112,205
sequence_24_Eps-1.5_Nmin-2,0.3651635720601238,0.9386363636363636,0.22667398463227223,413,27,1409,0.3616268788682582,0.9295454545454546,0.22447859495060374,409,31,1413
sequence_31_Eps-1.5_Nmin-2,0.3568627450980392,0.6691176470588235,0.24331550802139038,91,45,283,0.22745098039215686,0.4264705882352941,0.15508021390374332,58,78,316
sequence_42_Eps-1.5_Nmin-2,0.3088082901554404,0.49174917491749176,0.22507552870090636,149,154,513,0.2922279792746114,0.46534653465346537,0.21299093655589124,141,162,521
sequence_48_Eps-1.5_Nmin-2,0.373134328358209,0.40192926045016075,0.34818941504178275,125,186,234,0.3522388059701492,0.37942122186495175,0.3286908077994429,118,193,241
sequence_53_Eps-1.5_Nmin-2,0.7763157894736842,0.6629213483146067,0.9365079365079365,59,30,4,0.7763157894736842,0.6629213483146067,0.9365079365079365,59,30,4
sequence_58_Eps-1.5_Nmin-2,0.5597222222222222,0.893569844789357,0.4074823053589484,403,48,586,0.5333333333333333,0.8514412416851441,0.38827098078867545,384,67,605
sequence_63_Eps-1.5_Nmin-2,0.5795053003533569,0.9704142011834319,0.41309823677581864,328,10,466,0.5477031802120141,0.9171597633136095,0.3904282115869018,310,28,484
sequence_68_Eps-1.5_Nmin-2,0.418331374853114,0.827906976744186,0.279874213836478,178,37,458,0.3783783783783784,0.7488372093023256,0.2531446540880503,161,54,475
sequence_73_Eps-1.5_Nmin-2,0.26139088729016785,0.7077922077922078,0.16029411764705884,218,90,1142,0.2517985611510791,0.6818181818181818,0.15441176470588236,210,98,1150
sequence_79_Eps-1.5_Nmin-2,0.4379172229639519,0.31844660194174756,0.7008547008547008,164,351,70,0.40587449933244324,0.29514563106796116,0.6495726495726496,152,363,82
sequence_85_Eps-1.5_Nmin-2,0.18203309692671396,0.10984308131241084,0.5310344827586206,77,624,68,0.13711583924349882,0.08273894436519258,0.4,58,643,87
sequence_89_Eps-1.5_Nmin-2,0.42543859649122806,0.29393939393939394,0.7698412698412699,97,233,29,0.34649122807017546,0.23939393939393938,0.626984126984127,79,251,47
sequence_93_Eps-1.5_Nmin-2,0.571810287241149,0.5095238095238095,0.6514459665144596,856,824,458,0.5424181696726786,0.48333333333333334,0.6179604261796042,812,868,502
sequence_99_Eps-1.5_Nmin-2,0.5154433742942544,0.4318308291597106,0.6392092257001647,776,1021,438,0.4895383593490535,0.41012799109627157,0.6070840197693574,737,1060,477
sequence_1_Eps-1.5_Nmin-2,0.5283630470016207,0.40213815789473684,0.7700787401574803,489,727,146,0.5078336034575905,0.38651315789473684,0.7401574803149606,470,746,165
sequence_2_Eps-1.5_Nmin-2,0.5,0.37344,0.7563188593648736,1167,1958,376,0.45629820051413883,0.3408,0.6902138690861958,1065,2060,478
sequence_3_Eps-1.5_Nmin-2,0.542713567839196,0.7248322147651006,0.43373493975903615,108,41,141,0.542713567839196,0.7248322147651006,0.43373493975903615,108,41,141
