frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
95,4,3,1,0,0,0.831,1.000,0.000,1.039,0.710,0.424,1.463,0,0
96,4,3,1,0,0,0.681,1.000,0.000,0.745,0.516,0.699,1.444,0,0
97,4,3,1,0,0,0.838,1.000,0.000,1.018,0.721,0.394,1.412,0,0
98,4,3,1,0,0,0.830,1.000,0.000,1.069,0.709,0.438,1.506,0,0
99,4,3,1,0,0,0.816,1.000,0.000,1.110,0.689,0.502,1.612,0,0
100,4,3,1,0,0,0.807,1.000,0.000,1.030,0.677,0.491,1.521,0,0
101,4,3,1,0,0,0.800,1.000,0.000,1.044,0.666,0.524,1.568,0,0
102,4,3,1,0,0,0.879,1.000,0.000,1.236,0.784,0.341,1.577,0,0
103,4,3,1,0,0,0.886,1.000,0.000,1.255,0.796,0.322,1.577,0,0
104,4,3,1,0,0,0.813,1.000,0.000,1.164,0.685,0.535,1.699,0,0
105,4,3,1,0,0,0.814,1.000,0.000,1.108,0.686,0.508,1.616,0,0
106,4,3,1,0,0,0.873,1.000,0.000,1.254,0.775,0.363,1.618,0,0
107,4,3,1,0,0,0.830,1.000,0.000,1.289,0.710,0.527,1.816,0,0
108,4,3,1,0,0,0.829,1.000,0.000,1.122,0.709,0.461,1.583,0,0
109,4,3,1,0,0,0.759,1.000,0.000,1.121,0.612,0.710,1.831,0,0
110,4,3,1,0,0,0.791,1.000,0.000,1.061,0.654,0.561,1.622,0,0
111,3,2,1,0,0,0.668,1.000,0.000,0.796,0.501,0.792,1.588,0,0
112,4,3,1,0,0,0.798,1.000,0.000,1.037,0.664,0.524,1.562,0,0
113,4,3,1,0,0,0.765,1.000,0.000,1.114,0.620,0.683,1.797,0,0
114,4,3,1,0,0,0.752,1.000,0.000,1.070,0.603,0.704,1.774,0,0
115,4,2,2,0,0,0.734,1.000,0.000,1.035,0.580,0.748,1.783,0,0
116,4,2,2,0,0,0.745,1.000,0.000,0.965,0.593,0.661,1.626,0,0
117,4,2,2,0,0,0.794,1.000,0.000,1.072,0.658,0.558,1.630,0,0
118,4,2,2,0,0,0.765,1.000,0.000,1.087,0.619,0.668,1.754,0,0
119,4,2,2,0,0,0.785,1.000,0.000,1.075,0.646,0.590,1.665,0,0
120,4,2,2,0,0,0.777,1.000,0.000,1.114,0.635,0.641,1.755,0,0
121,4,2,2,0,0,0.700,1.000,0.000,1.054,0.538,0.904,1.957,0,0
122,4,2,2,0,0,0.807,1.000,0.000,1.100,0.676,0.528,1.628,0,0
123,4,2,2,0,0,0.790,1.000,0.000,1.221,0.652,0.651,1.872,0,0
124,4,2,2,0,0,0.772,1.000,0.000,1.151,0.629,0.678,1.830,0,0
125,4,2,2,0,0,0.785,1.000,0.000,1.197,0.646,0.655,1.851,0,0
126,4,3,1,0,0,0.850,1.000,0.000,1.202,0.739,0.425,1.627,0,0
127,4,3,1,0,0,0.825,1.000,0.000,1.176,0.703,0.497,1.674,0,0
128,4,3,1,0,0,0.899,1.000,0.000,1.277,0.816,0.287,1.564,0,0
129,4,3,1,0,0,0.872,1.000,0.000,1.299,0.773,0.381,1.680,0,0
130,5,4,1,0,0,0.950,1.000,0.000,1.537,0.905,0.162,1.699,0,0
131,5,4,1,0,0,0.902,1.000,0.000,1.390,0.821,0.303,1.693,0,0
132,5,4,1,0,0,0.937,1.000,0.000,1.447,0.881,0.195,1.642,0,0
133,5,3,2,0,0,0.930,1.000,0.000,1.473,0.869,0.222,1.695,0,0
134,5,3,2,0,0,0.876,1.000,0.000,1.383,0.779,0.393,1.776,0,0
135,5,3,2,0,0,0.861,1.000,0.000,1.471,0.756,0.476,1.947,0,0
136,5,3,2,0,0,0.904,1.000,0.000,1.541,0.825,0.327,1.868,0,0
137,5,3,2,0,0,0.900,1.000,0.000,1.435,0.818,0.320,1.756,0,0
138,5,3,2,0,0,0.890,1.000,0.000,1.503,0.801,0.373,1.876,0,0
139,5,4,1,0,0,0.953,1.000,0.000,1.448,0.911,0.142,1.590,0,0
140,5,4,1,0,0,0.971,1.000,0.000,1.458,0.943,0.088,1.546,0,0
141,5,5,0,0,0,1.000,1.000,0.000,1.402,1.000,0.000,1.402,0,0
142,5,5,0,0,0,1.000,1.000,0.000,1.378,1.000,0.000,1.378,0,0
143,4,4,0,0,0,1.000,1.000,0.000,1.356,1.000,0.000,1.356,0,0
144,5,4,1,0,0,0.976,1.000,0.000,1.449,0.953,0.072,1.521,0,0
145,5,5,0,0,0,1.000,1.000,0.000,1.459,1.000,0.000,1.459,0,0
146,5,5,0,0,0,1.000,1.000,0.000,1.481,1.000,0.000,1.481,0,0
147,5,5,0,0,0,1.000,1.000,0.000,1.450,1.000,0.000,1.450,0,0
148,5,5,0,0,0,1.000,1.000,0.000,1.375,1.000,0.000,1.375,0,0
149,5,5,0,0,0,1.000,1.000,0.000,1.427,1.000,0.000,1.427,0,0
150,5,4,1,0,0,0.972,1.000,0.000,1.438,0.945,0.084,1.522,0,0
151,4,4,0,0,0,1.000,1.000,0.000,1.313,1.000,0.000,1.313,0,0
152,5,5,0,0,0,1.000,1.000,0.000,1.395,1.000,0.000,1.395,0,0
153,4,3,1,0,0,0.968,1.000,0.000,1.363,0.938,0.091,1.453,0,0
154,5,5,0,0,0,1.000,1.000,0.000,1.369,1.000,0.000,1.369,0,0
155,4,2,2,0,0,0.947,1.000,0.000,1.335,0.900,0.149,1.483,0,0
156,5,5,0,0,0,1.000,1.000,0.000,1.455,1.000,0.000,1.455,0,0
157,4,4,0,0,0,1.000,1.000,0.000,1.330,1.000,0.000,1.330,0,0
158,4,2,2,0,0,0.929,1.000,0.000,1.328,0.867,0.203,1.531,0,0
159,5,5,0,0,0,1.000,1.000,0.000,1.463,1.000,0.000,1.463,0,0
160,4,3,1,0,0,0.969,1.000,0.000,1.355,0.939,0.087,1.443,0,0
161,5,4,1,0,0,0.969,1.000,0.000,1.425,0.940,0.091,1.516,0,0
162,6,6,0,0,0,1.000,1.000,0.000,1.527,1.000,0.000,1.527,0,0
163,6,6,0,0,0,1.000,1.000,0.000,1.498,1.000,0.000,1.498,0,0
164,7,7,0,0,0,1.000,1.000,0.000,1.674,1.000,0.000,1.674,0,0
165,6,6,0,0,0,1.000,1.000,0.000,1.541,1.000,0.000,1.541,0,0
166,7,7,0,0,0,1.000,1.000,0.000,1.607,1.000,0.000,1.607,0,0
167,7,7,0,0,0,1.000,1.000,0.000,1.622,1.000,0.000,1.622,0,0
168,7,5,2,0,0,0.959,1.000,0.000,1.543,0.921,0.132,1.676,0,0
169,7,6,1,0,0,0.987,1.000,0.000,1.629,0.974,0.043,1.673,0,0
170,9,8,1,0,0,0.992,1.000,0.000,1.759,0.984,0.028,1.787,0,0
171,8,7,1,0,0,0.991,1.000,0.000,1.832,0.981,0.035,1.867,0,0
172,8,7,1,0,0,0.986,1.000,0.000,1.761,0.972,0.050,1.812,0,0
173,8,7,1,0,0,0.974,1.000,0.000,1.661,0.949,0.090,1.751,0,0
174,8,7,1,0,0,0.974,1.000,0.000,1.624,0.950,0.085,1.710,0,0
175,6,5,1,0,0,0.985,1.000,0.000,1.534,0.970,0.047,1.581,0,0
176,7,7,0,0,0,1.000,1.000,0.000,1.610,1.000,0.000,1.610,0,0
177,7,7,0,0,0,1.000,1.000,0.000,1.571,1.000,0.000,1.571,0,0
178,7,6,1,0,0,0.984,1.000,0.000,1.609,0.969,0.051,1.661,0,0
179,8,7,1,0,0,0.987,1.000,0.000,1.605,0.975,0.041,1.645,0,0
180,7,7,0,0,0,1.000,1.000,0.000,1.489,1.000,0.000,1.489,0,0
181,7,7,0,0,0,1.000,1.000,0.000,1.496,1.000,0.000,1.496,0,0
182,8,7,1,0,0,0.964,1.000,0.000,1.716,0.930,0.130,1.846,0,0
183,8,6,2,0,0,0.946,1.000,0.000,1.559,0.897,0.179,1.738,0,0
184,6,3,3,0,0,0.910,1.000,0.000,1.471,0.836,0.289,1.760,0,0
185,7,5,2,0,0,0.958,1.000,0.000,1.580,0.919,0.139,1.720,0,0
186,7,6,1,0,0,0.988,1.000,0.000,1.617,0.977,0.038,1.655,0,0
187,7,5,2,0,0,0.963,1.000,0.000,1.609,0.929,0.123,1.732,0,0
188,7,4,3,0,0,0.902,1.000,0.000,1.389,0.822,0.301,1.690,0,0
189,7,6,1,0,0,0.989,1.000,0.000,1.441,0.978,0.033,1.474,0,0
190,6,5,1,0,0,0.985,1.000,0.000,1.369,0.971,0.041,1.409,0,0
191,5,4,1,0,0,0.967,1.000,0.000,1.124,0.935,0.078,1.201,0,0
192,7,5,2,0,0,0.924,1.000,0.000,1.188,0.860,0.194,1.382,0,0
193,7,6,1,0,0,0.944,1.000,0.000,1.361,0.893,0.162,1.523,0,0
194,7,6,1,0,0,0.951,1.000,0.000,1.411,0.907,0.145,1.556,0,0
195,8,8,0,0,0,1.000,1.000,0.000,1.426,1.000,0.000,1.426,0,0
196,8,5,3,0,0,0.964,1.000,0.000,1.598,0.931,0.118,1.716,0,0
197,8,7,1,0,0,0.946,1.000,0.000,1.485,0.898,0.168,1.654,0,0
198,8,7,1,0,0,0.945,1.000,0.000,1.318,0.896,0.153,1.470,0,0
199,8,4,2,2,0,0.941,0.914,0.105,1.223,0.969,0.036,1.154,0,0
200,7,3,2,2,0,0.842,0.885,0.155,1.344,0.802,0.293,1.483,0,0
201,8,4,2,2,0,0.909,0.895,0.132,1.263,0.924,0.093,1.224,0,0
202,8,5,1,2,0,0.888,0.900,0.154,1.538,0.876,0.196,1.580,0,0
203,8,5,2,1,0,0.900,0.866,0.258,1.916,0.937,0.111,1.770,0,0
204,7,6,1,0,0,0.984,1.000,0.000,1.627,0.968,0.053,1.681,0,0
205,6,5,1,0,0,0.985,1.000,0.000,1.652,0.970,0.052,1.704,0,0
206,8,6,2,0,0,0.950,1.000,0.000,1.874,0.905,0.196,2.070,0,0
207,9,9,0,0,0,1.000,1.000,0.000,1.936,1.000,0.000,1.936,0,0
208,7,7,0,0,0,1.000,1.000,0.000,1.864,1.000,0.000,1.864,0,0
209,6,6,0,0,0,1.000,1.000,0.000,1.736,1.000,0.000,1.736,0,0
210,7,7,0,0,0,1.000,1.000,0.000,1.865,1.000,0.000,1.865,0,0
211,6,6,0,0,0,1.000,1.000,0.000,1.739,1.000,0.000,1.739,0,0
212,9,8,1,0,0,0.983,1.000,0.000,2.087,0.966,0.073,2.160,0,0
213,8,7,1,0,0,0.964,1.000,0.000,1.864,0.930,0.140,2.005,0,0
214,8,6,2,0,0,0.948,1.000,0.000,1.945,0.901,0.213,2.158,0,0
215,8,8,0,0,0,1.000,1.000,0.000,1.871,1.000,0.000,1.871,0,0
216,9,7,0,2,0,0.976,0.953,0.099,2.098,1.000,0.000,1.999,0,0
217,7,6,1,0,0,0.973,1.000,0.000,1.813,0.947,0.101,1.913,0,0
218,7,7,0,0,0,1.000,1.000,0.000,1.652,1.000,0.000,1.652,0,0
219,6,3,1,2,0,0.936,0.936,0.107,1.662,0.936,0.107,1.662,0,0
220,5,5,0,0,0,1.000,1.000,0.000,1.357,1.000,0.000,1.357,0,0
221,4,4,0,0,0,1.000,1.000,0.000,1.371,1.000,0.000,1.371,0,0
222,4,4,0,0,0,1.000,1.000,0.000,1.352,1.000,0.000,1.352,0,0
223,4,4,0,0,0,1.000,1.000,0.000,1.272,1.000,0.000,1.272,0,0
224,4,4,0,0,0,1.000,1.000,0.000,1.149,1.000,0.000,1.149,0,0
225,4,4,0,0,0,1.000,1.000,0.000,1.303,1.000,0.000,1.303,0,0
226,4,3,1,0,0,0.963,1.000,0.000,1.194,0.928,0.092,1.287,0,0
227,4,3,1,0,0,0.937,1.000,0.000,0.953,0.882,0.127,1.081,0,0
228,4,3,1,0,0,0.961,1.000,0.000,1.006,0.925,0.082,1.088,0,0
229,3,3,0,0,0,1.000,1.000,0.000,0.892,1.000,0.000,0.892,0,0
230,3,3,0,0,0,1.000,1.000,0.000,0.802,1.000,0.000,0.802,0,0
231,3,3,0,0,0,1.000,1.000,0.000,0.860,1.000,0.000,0.860,0,0
232,4,3,1,0,0,0.963,1.000,0.000,1.194,0.928,0.092,1.287,0,0
233,3,3,0,0,0,1.000,1.000,0.000,1.012,1.000,0.000,1.012,0,0
234,3,3,0,0,0,1.000,1.000,0.000,0.703,1.000,0.000,0.703,0,0
235,3,2,1,0,0,0.912,1.000,0.000,0.900,0.839,0.173,1.074,0,0
236,3,2,1,0,0,0.866,1.000,0.000,0.759,0.763,0.235,0.994,0,0
237,4,3,1,0,0,0.929,1.000,0.000,1.136,0.868,0.173,1.310,0,0
238,4,3,1,0,0,0.880,1.000,0.000,1.020,0.786,0.277,1.297,0,0
239,4,4,0,0,0,1.000,1.000,0.000,1.116,1.000,0.000,1.116,0,0
240,4,4,0,0,0,1.000,1.000,0.000,1.176,1.000,0.000,1.176,0,0
241,4,3,1,0,0,0.954,1.000,0.000,0.999,0.913,0.095,1.094,0,0
242,4,3,1,0,0,0.943,1.000,0.000,0.826,0.892,0.101,0.927,0,0
243,2,2,0,0,0,1.000,1.000,0.000,0.410,1.000,0.000,0.410,0,0
244,3,2,1,0,0,0.923,1.000,0.000,0.678,0.858,0.112,0.790,0,0
245,3,2,1,0,0,0.931,1.000,0.000,0.849,0.872,0.125,0.974,0,0
