frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
192,0,-nan,0,0,0,1,0,-nan,0,0,0,1
193,0,-nan,0,0,0,2,0,-nan,0,0,0,2
194,0,-nan,0,0,0,2,0,-nan,0,0,0,2
195,0,-nan,0,0,0,1,0,-nan,0,0,0,1
196,0,-nan,0,0,0,2,0,-nan,0,0,0,2
197,0,-nan,0,0,0,1,0,-nan,0,0,0,1
198,0,-nan,0,0,0,1,0,-nan,0,0,0,1
199,0,-nan,0,0,0,1,0,-nan,0,0,0,1
200,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
201,0,-nan,0,0,0,3,0,-nan,0,0,0,3
202,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
203,0,-nan,0,0,0,3,0,-nan,0,0,0,3
204,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
205,0,0,0,0,1,3,0,0,0,0,1,3
206,0,-nan,0,0,0,2,0,-nan,0,0,0,2
207,0,-nan,0,0,0,3,0,-nan,0,0,0,3
208,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
209,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
210,0,-nan,0,0,0,3,0,-nan,0,0,0,3
211,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
212,0,0,0,0,1,3,0,0,0,0,1,3
213,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
214,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
215,0,-nan,0,0,0,4,0,-nan,0,0,0,4
216,0,-nan,0,0,0,4,0,-nan,0,0,0,4
217,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
218,0,-nan,0,0,0,4,0,-nan,0,0,0,4
219,0,-nan,0,0,0,3,0,-nan,0,0,0,3
220,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
221,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
222,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
223,0,-nan,0,0,0,3,0,-nan,0,0,0,3
224,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
225,0,-nan,0,0,0,4,0,-nan,0,0,0,4
226,0,-nan,0,0,0,5,0,-nan,0,0,0,5
227,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
228,0,-nan,0,0,0,3,0,-nan,0,0,0,3
229,0,-nan,0,0,0,4,0,-nan,0,0,0,4
230,0,-nan,0,0,0,5,0,-nan,0,0,0,5
231,0,-nan,0,0,0,5,0,-nan,0,0,0,5
232,0.5,1,0.333,1,0,2,0,0,0,0,1,3
233,0,-nan,0,0,0,3,0,-nan,0,0,0,3
234,0,0,0,0,1,2,0,0,0,0,1,2
235,0,-nan,0,0,0,2,0,-nan,0,0,0,2
236,0,-nan,0,0,0,2,0,-nan,0,0,0,2
237,0,-nan,0,0,0,2,0,-nan,0,0,0,2
238,0,-nan,0,0,0,2,0,-nan,0,0,0,2
239,0,-nan,0,0,0,2,0,-nan,0,0,0,2
240,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
241,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
242,0,-nan,0,0,0,2,0,-nan,0,0,0,2
243,0,-nan,0,0,0,2,0,-nan,0,0,0,2
244,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
245,0,-nan,0,0,0,1,0,-nan,0,0,0,1
246,0,-nan,0,0,0,1,0,-nan,0,0,0,1
247,0,-nan,0,0,0,1,0,-nan,0,0,0,1
248,1,1,1,1,0,0,1,1,1,1,0,0
249,0,-nan,0,0,0,1,0,-nan,0,0,0,1
250,1,1,1,1,0,0,1,1,1,1,0,0
251,0,-nan,0,0,0,1,0,-nan,0,0,0,1
252,1,1,1,1,0,0,1,1,1,1,0,0
253,0,-nan,0,0,0,1,0,-nan,0,0,0,1
254,1,1,1,1,0,0,1,1,1,1,0,0
255,1,1,1,1,0,0,1,1,1,1,0,0
256,0,-nan,0,0,0,1,0,-nan,0,0,0,1
257,1,1,1,1,0,0,0,0,0,0,1,1
258,1,1,1,1,0,0,0,0,0,0,1,1
259,0,-nan,0,0,0,1,0,-nan,0,0,0,1
260,1,1,1,1,0,0,0,0,0,0,1,1
261,1,1,1,1,0,0,0,0,0,0,1,1
262,0,-nan,0,0,0,1,0,-nan,0,0,0,1
263,0,0,0,0,1,1,0,0,0,0,1,1
264,0,0,0,0,1,1,0,0,0,0,1,1
265,1,1,1,1,0,0,0,0,0,0,1,1
266,1,1,1,1,0,0,0,0,0,0,1,1
267,0,-nan,0,0,0,1,0,-nan,0,0,0,1
268,0,-nan,0,0,0,1,0,-nan,0,0,0,1
269,1,1,1,1,0,0,1,1,1,1,0,0
270,0,-nan,0,0,0,1,0,-nan,0,0,0,1
271,0,0,0,0,1,1,0,0,0,0,1,1
272,0,-nan,0,0,0,1,0,-nan,0,0,0,1
273,0,-nan,0,0,0,1,0,-nan,0,0,0,1
274,0,-nan,0,0,0,1,0,-nan,0,0,0,1
275,0,-nan,0,0,0,1,0,-nan,0,0,0,1
276,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
