frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
36,12951191.212,2,2,367,0,0,0,0,0,0.068,367,363,0.124,0.833,0.833,0.833,0.444,0.444,0.444,0.250,0.250,0.250,0.833,0.833,0.833,0.444,0.444,0.444,0.250,0.250,0.250
37,12951191.285,2,2,356,0,0,0,0,0,0.048,356,367,0.212,0.545,0.545,0.545,0.400,0.400,0.444,0.250,0.250,0.250,0.545,0.545,0.545,0.400,0.400,0.444,0.250,0.250,0.250
38,12951191.357,2,2,368,0,0,0,0,0,0.057,368,356,0.197,0.769,0.769,0.545,0.545,0.545,0.222,0.222,0.222,0.222,0.769,0.769,0.545,0.545,0.545,0.222,0.222,0.222,0.222
39,12951191.432,2,2,359,0,0,0,0,0,0.050,359,368,0.174,0.833,0.833,0.727,0.444,0.444,0.444,0.250,0.250,0.250,0.833,0.833,0.727,0.444,0.444,0.444,0.250,0.250,0.250
40,12951191.506,2,2,364,0,0,0,0,0,0.055,364,359,0.179,0.727,0.727,0.727,0.444,0.444,0.444,0.444,0.250,0.250,0.727,0.727,0.727,0.444,0.444,0.444,0.444,0.250,0.250
41,12951191.578,2,2,360,0,0,0,0,0,0.064,360,364,0.179,0.769,0.667,0.667,0.545,0.545,0.545,0.545,0.400,0.222,0.769,0.667,0.667,0.545,0.545,0.545,0.545,0.400,0.222
42,12951191.650,2,2,364,0,0,0,0,0,0.044,364,360,0.192,0.727,0.727,0.600,0.444,0.444,0.444,0.444,0.444,0.250,0.727,0.727,0.600,0.444,0.444,0.444,0.444,0.444,0.250
43,12951191.722,2,2,363,0,0,0,0,0,0.041,363,364,0.205,0.600,0.600,0.600,0.444,0.250,0.250,0.250,0.000,0.000,0.600,0.600,0.600,0.444,0.250,0.250,0.250,0.000,0.000
44,12951191.796,2,2,372,0,0,0,0,0,0.065,372,363,0.234,0.727,0.727,0.600,0.600,0.444,0.444,0.444,0.250,0.250,0.727,0.727,0.600,0.600,0.444,0.444,0.444,0.250,0.250
45,12951191.942,2,2,374,0,0,0,0,0,0.056,374,372,0.185,0.833,0.833,0.833,0.833,0.600,0.444,0.444,0.444,0.444,0.833,0.833,0.833,0.833,0.600,0.444,0.444,0.444,0.444
46,12951192.014,2,2,376,0,0,0,0,0,0.064,376,374,0.197,0.667,0.667,0.667,0.667,0.545,0.545,0.545,0.400,0.222,0.667,0.667,0.667,0.667,0.545,0.545,0.545,0.400,0.222
47,12951192.088,2,2,367,0,0,0,0,0,0.054,367,376,0.668,0.727,0.727,0.727,0.600,0.600,0.444,0.250,0.250,0.250,0.727,0.727,0.727,0.600,0.600,0.444,0.250,0.250,0.250
48,12951192.162,2,2,371,0,0,0,0,0,0.049,371,367,0.211,0.444,0.444,0.444,0.444,0.250,0.250,0.250,0.250,0.250,0.444,0.444,0.444,0.444,0.250,0.250,0.250,0.250,0.250
49,12951192.234,2,2,377,0,0,0,0,0,0.050,377,371,0.344,0.833,0.833,0.444,0.444,0.444,0.444,0.444,0.250,0.250,0.833,0.833,0.444,0.444,0.444,0.444,0.444,0.250,0.250
50,12951192.305,2,2,372,0,0,0,0,0,0.056,372,377,0.209,0.667,0.667,0.667,0.545,0.400,0.400,0.400,0.222,0.222,0.667,0.667,0.667,0.545,0.400,0.400,0.400,0.222,0.222
51,12951192.380,2,2,373,0,0,0,0,0,0.062,373,372,0.204,0.667,0.667,0.545,0.545,0.400,0.400,0.222,0.222,0.222,0.667,0.667,0.545,0.545,0.400,0.400,0.222,0.222,0.222
52,12951192.454,2,2,369,0,0,0,0,0,0.073,369,373,0.183,0.769,0.769,0.667,0.545,0.545,0.545,0.545,0.400,0.400,0.769,0.769,0.667,0.545,0.545,0.545,0.545,0.400,0.400
53,12951192.527,2,2,370,0,0,0,0,0,0.054,370,369,0.527,0.727,0.727,0.727,0.727,0.727,0.600,0.600,0.444,0.250,0.727,0.727,0.727,0.727,0.727,0.600,0.600,0.444,0.250
54,12951192.599,2,2,365,0,0,0,0,0,0.047,365,370,0.377,0.667,0.667,0.667,0.667,0.667,0.500,0.500,0.500,0.286,0.667,0.667,0.667,0.667,0.667,0.500,0.500,0.500,0.286
55,12951192.672,2,2,362,0,0,0,0,0,0.052,362,365,0.188,0.769,0.769,0.667,0.545,0.545,0.545,0.400,0.222,0.222,0.769,0.769,0.667,0.545,0.545,0.545,0.400,0.222,0.222
56,12951192.746,2,2,366,0,0,0,0,0,0.041,366,362,0.352,0.727,0.727,0.727,0.600,0.600,0.600,0.250,0.250,0.000,0.727,0.727,0.727,0.600,0.600,0.600,0.250,0.250,0.000
57,12951192.820,2,2,361,0,0,0,0,0,0.036,361,366,0.366,0.600,0.600,0.600,0.600,0.600,0.600,0.000,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.000,0.000,0.000
58,12951192.891,2,2,364,0,0,0,0,0,0.052,364,361,0.597,0.800,0.800,0.800,0.667,0.750,0.750,0.333,0.333,0.333,0.800,0.800,0.800,0.667,0.750,0.750,0.333,0.333,0.333
59,12951192.966,2,2,370,0,0,0,0,0,0.059,370,364,1.002,0.800,0.800,0.800,0.800,0.800,0.667,0.667,0.500,0.500,0.800,0.800,0.800,0.800,0.800,0.667,0.667,0.500,0.500
60,12951193.040,2,2,365,0,0,0,0,0,0.047,365,370,0.691,0.909,0.909,0.800,0.800,0.667,0.667,0.500,0.500,0.286,0.909,0.909,0.800,0.800,0.667,0.667,0.500,0.500,0.286
61,12951193.113,3,3,367,0,0,0,0,0,0.041,367,365,0.743,0.667,0.750,0.750,0.750,0.750,0.750,0.750,0.571,0.333,0.667,0.750,0.750,0.750,0.750,0.750,0.750,0.571,0.333
62,12951193.185,2,2,367,0,0,0,0,0,0.044,367,367,0.716,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.500,0.500,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.500,0.500
63,12951193.258,2,2,376,0,0,0,0,0,0.051,376,367,0.175,0.667,0.667,0.667,0.667,0.545,0.400,0.400,0.400,0.000,0.667,0.667,0.667,0.667,0.545,0.400,0.400,0.400,0.000
64,12951193.331,2,2,384,0,0,0,0,0,0.036,384,376,0.176,0.600,0.600,0.600,0.600,0.600,0.600,0.444,0.000,0.000,0.600,0.600,0.600,0.600,0.600,0.600,0.444,0.000,0.000
65,12951193.404,2,2,364,0,0,0,0,0,0.060,364,384,0.343,0.727,0.727,0.600,0.600,0.600,0.600,0.600,0.600,0.444,0.727,0.727,0.600,0.600,0.600,0.600,0.600,0.600,0.444
66,12951193.477,2,2,370,0,0,0,0,0,0.046,370,364,0.178,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.500,0.500,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.500,0.500
67,12951193.549,2,2,371,0,0,0,0,0,0.046,371,370,0.501,0.833,0.600,0.600,0.600,0.444,0.444,0.444,0.250,0.250,0.833,0.600,0.600,0.600,0.444,0.444,0.444,0.250,0.250
68,12951193.623,2,2,373,0,0,0,0,0,0.056,373,371,0.290,0.727,0.727,0.727,0.600,0.600,0.600,0.600,0.444,0.250,0.727,0.727,0.727,0.600,0.600,0.600,0.600,0.444,0.250
69,12951193.698,7,7,387,0,0,0,0,0,0.059,387,373,0.184,0.545,0.545,0.545,0.545,0.545,0.667,0.545,0.400,0.400,0.545,0.545,0.545,0.545,0.545,0.667,0.545,0.400,0.400
70,12951193.769,2,2,370,0,0,0,0,0,0.062,370,387,0.189,0.667,0.667,0.667,0.545,0.545,0.545,0.545,0.545,0.545,0.667,0.667,0.667,0.545,0.545,0.545,0.545,0.545,0.545
71,12951193.842,2,2,371,0,0,0,0,0,0.057,371,370,0.476,0.727,0.727,0.727,0.727,0.727,0.727,0.600,0.444,0.444,0.727,0.727,0.727,0.727,0.727,0.727,0.600,0.444,0.444
72,12951193.918,2,2,377,0,0,0,0,0,0.072,377,371,0.191,0.769,0.667,0.667,0.545,0.545,0.545,0.545,0.545,0.400,0.769,0.667,0.667,0.545,0.545,0.545,0.545,0.545,0.400
73,12951193.991,2,2,380,0,0,0,0,0,0.058,380,377,0.156,0.800,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.800,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.667
74,12951194.064,2,2,372,0,0,0,0,0,0.062,372,380,0.214,0.667,0.667,0.667,0.667,0.667,0.545,0.545,0.545,0.545,0.667,0.667,0.667,0.667,0.667,0.545,0.545,0.545,0.545
75,12951194.136,2,2,376,0,0,0,0,0,0.064,376,372,0.100,0.667,0.667,0.667,0.667,0.667,0.545,0.545,0.545,0.400,0.667,0.667,0.667,0.667,0.667,0.545,0.545,0.545,0.400
76,12951194.208,2,2,381,0,0,0,0,0,0.063,381,376,0.200,0.667,0.667,0.667,0.667,0.545,0.545,0.545,0.545,0.400,0.667,0.667,0.667,0.667,0.545,0.545,0.545,0.545,0.400
77,12951194.282,2,2,368,0,0,0,0,0,0.054,368,381,0.195,0.769,0.769,0.667,0.545,0.545,0.400,0.400,0.400,0.400,0.769,0.769,0.667,0.545,0.545,0.400,0.400,0.400,0.400
78,12951194.356,2,2,369,0,0,0,0,0,0.054,369,368,0.212,0.667,0.667,0.667,0.545,0.400,0.400,0.400,0.400,0.400,0.667,0.667,0.667,0.545,0.400,0.400,0.400,0.400,0.400
79,12951194.428,2,2,372,0,0,0,0,0,0.051,372,369,0.203,0.667,0.667,0.667,0.667,0.667,0.667,0.286,0.286,0.286,0.667,0.667,0.667,0.667,0.667,0.667,0.286,0.286,0.286
80,12951194.500,2,2,381,0,0,0,0,0,0.068,381,372,0.245,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.444,0.444,0.600,0.600,0.600,0.600,0.600,0.600,0.600,0.444,0.444
81,12951194.575,2,2,379,0,0,0,0,0,0.055,379,381,0.217,0.615,0.615,0.500,0.500,0.500,0.500,0.500,0.364,0.364,0.615,0.615,0.500,0.500,0.500,0.500,0.500,0.364,0.364
82,12951194.648,2,2,377,0,0,0,0,0,0.050,377,379,0.354,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.500,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.500
83,12951194.720,2,2,380,0,0,0,0,0,0.076,380,377,0.674,0.889,0.889,0.889,0.889,0.889,0.750,0.750,0.750,0.750,0.889,0.889,0.889,0.889,0.889,0.750,0.750,0.750,0.750
84,12951194.794,2,2,353,0,0,0,0,0,0.042,353,380,0.199,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.667,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.667
85,12951194.868,2,2,385,0,0,0,0,0,0.052,385,353,0.328,0.800,0.800,0.800,0.667,0.667,0.667,0.500,0.286,0.286,0.800,0.800,0.800,0.667,0.667,0.667,0.500,0.286,0.286
86,12951194.942,2,2,368,0,0,0,0,0,0.054,368,385,0.205,0.727,0.727,0.727,0.727,0.600,0.600,0.600,0.250,0.250,0.727,0.727,0.727,0.727,0.600,0.600,0.600,0.250,0.250
87,12951195.016,2,2,385,0,0,0,0,0,0.075,385,368,0.310,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.444,0.444,0.727,0.727,0.727,0.727,0.727,0.727,0.727,0.444,0.444
88,12951195.088,2,2,378,0,0,0,0,0,0.063,378,385,0.159,0.909,0.909,0.909,0.800,0.800,0.800,0.800,0.667,0.667,0.909,0.909,0.909,0.800,0.800,0.800,0.800,0.667,0.667
89,12951195.160,2,2,389,0,0,0,0,0,0.054,389,378,0.028,0.909,0.909,0.909,0.909,0.909,0.800,0.667,0.667,0.500,0.909,0.909,0.909,0.909,0.909,0.800,0.667,0.667,0.500
90,12951195.234,2,2,385,0,0,0,0,0,0.068,385,389,0.239,0.909,0.909,0.909,0.909,0.909,0.800,0.800,0.800,0.600,0.909,0.909,0.909,0.909,0.909,0.800,0.800,0.800,0.600
